game_pk,season,official_date,game_number,double_header,day_night,games_in_series,series_game_number,series_description,away_score,away_team_id,away_team_name,away_wins,away_losses,home_score,home_team_id,home_team_name,home_wins,home_losses,venue_id,venue_name
413661,2015,2015-04-05,1,N,night,2,1,Regular Season,3,138,St. Louis Cardinals,1,0,0,112,Chicago Cubs,0,1,17,Wrigley Field
413663,2015,2015-04-06,1,N,day,3,1,Regular Season,6,141,Toronto Blue Jays,1,0,1,147,New York Yankees,0,1,3313,Yankee Stadium
413656,2015,2015-04-06,1,N,day,3,1,Regular Season,0,142,Minnesota Twins,0,1,4,116,Detroit Tigers,1,0,2394,Comerica Park
413655,2015,2015-04-06,1,N,day,3,1,Regular Season,10,115,Colorado Rockies,1,0,0,158,Milwaukee Brewers,0,1,32,Miller Park
413652,2015,2015-04-06,1,N,day,3,1,Regular Season,8,111,Boston Red Sox,1,0,0,143,Philadelphia Phillies,0,1,2681,Citizens Bank Park
413651,2015,2015-04-06,1,N,day,3,1,Regular Season,6,110,Baltimore Orioles,1,0,2,139,Tampa Bay Rays,0,1,12,Tropicana Field
413657,2015,2015-04-06,1,N,day,3,1,Regular Season,3,121,New York Mets,1,0,1,120,Washington Nationals,0,1,3309,Nationals Park
413658,2015,2015-04-06,1,N,day,3,1,Regular Season,2,134,Pittsburgh Pirates,0,1,5,113,Cincinnati Reds,1,0,2602,Great American Ball Park
413659,2015,2015-04-06,1,N,day,3,1,Regular Season,3,135,San Diego Padres,0,1,6,119,Los Angeles Dodgers,1,0,22,Dodger Stadium
413649,2015,2015-04-06,1,N,day,3,1,Regular Season,1,108,Los Angeles Angels,0,1,4,136,Seattle Mariners,1,0,680,Safeco Field
413653,2015,2015-04-06,1,N,day,3,1,Regular Season,1,145,Chicago White Sox,0,1,10,118,Kansas City Royals,1,0,7,Kauffman Stadium
413650,2015,2015-04-06,1,N,day,3,1,Regular Season,2,144,Atlanta Braves,1,0,1,146,Miami Marlins,0,1,4169,Marlins Park
413654,2015,2015-04-06,1,N,night,3,1,Regular Season,0,114,Cleveland Indians,0,1,2,117,Houston Astros,1,0,2392,Minute Maid Park
413662,2015,2015-04-06,1,N,night,4,1,Regular Season,0,140,Texas Rangers,0,1,8,133,Oakland Athletics,1,0,10,O.co Coliseum
413660,2015,2015-04-06,1,N,night,3,1,Regular Season,5,137,San Francisco Giants,1,0,4,109,Arizona Diamondbacks,0,1,15,Chase Field
413666,2015,2015-04-07,1,N,night,3,2,Regular Season,6,110,Baltimore Orioles,2,0,5,139,Tampa Bay Rays,0,2,12,Tropicana Field
413665,2015,2015-04-07,1,N,night,3,2,Regular Season,12,144,Atlanta Braves,2,0,2,146,Miami Marlins,0,2,4169,Marlins Park
413667,2015,2015-04-07,1,N,night,3,2,Regular Season,5,115,Colorado Rockies,2,0,2,158,Milwaukee Brewers,0,2,32,Miller Park
413669,2015,2015-04-07,1,N,night,3,2,Regular Season,6,137,San Francisco Giants,1,1,7,109,Arizona Diamondbacks,1,1,15,Chase Field
413670,2015,2015-04-07,1,N,night,4,2,Regular Season,3,140,Texas Rangers,1,1,1,133,Oakland Athletics,1,1,10,O.co Coliseum
413668,2015,2015-04-07,1,N,night,3,2,Regular Season,7,135,San Diego Padres,1,1,3,119,Los Angeles Dodgers,1,1,22,Dodger Stadium
413664,2015,2015-04-07,1,N,night,3,2,Regular Season,2,108,Los Angeles Angels,1,1,0,136,Seattle Mariners,1,1,680,Safeco Field
413683,2015,2015-07-07,1,S,day,3,2,Regular Season,NA,138,St. Louis Cardinals,54,29,NA,112,Chicago Cubs,45,37,17,Wrigley Field
413678,2015,2015-04-08,1,N,day,3,2,Regular Season,0,142,Minnesota Twins,0,2,11,116,Detroit Tigers,2,0,2394,Comerica Park
413693,2015,2015-04-08,1,N,day,2,2,Regular Season,0,138,St. Louis Cardinals,1,1,2,112,Chicago Cubs,1,1,17,Wrigley Field
413679,2015,2015-04-08,1,N,night,3,2,Regular Season,1,121,New York Mets,1,1,2,120,Washington Nationals,1,1,3309,Nationals Park
413674,2015,2015-04-08,1,N,night,3,2,Regular Season,2,111,Boston Red Sox,1,1,4,143,Philadelphia Phillies,1,1,2681,Citizens Bank Park
413685,2015,2015-04-08,1,N,night,3,2,Regular Season,3,141,Toronto Blue Jays,1,1,4,147,New York Yankees,1,1,3313,Yankee Stadium
413680,2015,2015-04-08,1,N,night,3,2,Regular Season,4,134,Pittsburgh Pirates,0,2,5,113,Cincinnati Reds,2,0,2602,Great American Ball Park
413673,2015,2015-04-08,1,N,night,3,3,Regular Season,0,110,Baltimore Orioles,2,1,2,139,Tampa Bay Rays,1,2,12,Tropicana Field
413672,2015,2015-04-08,1,N,night,3,3,Regular Season,2,144,Atlanta Braves,3,0,0,146,Miami Marlins,0,3,4169,Marlins Park
413676,2015,2015-04-08,1,N,night,3,2,Regular Season,2,114,Cleveland Indians,1,1,0,117,Houston Astros,1,1,2392,Minute Maid Park
413675,2015,2015-04-08,1,N,night,3,2,Regular Season,5,145,Chicago White Sox,0,2,7,118,Kansas City Royals,2,0,7,Kauffman Stadium
413677,2015,2015-04-08,1,N,night,3,3,Regular Season,5,115,Colorado Rockies,3,0,4,158,Milwaukee Brewers,0,3,32,Miller Park
413682,2015,2015-04-08,1,N,night,3,3,Regular Season,5,137,San Francisco Giants,2,1,2,109,Arizona Diamondbacks,1,2,15,Chase Field
413684,2015,2015-04-08,1,N,night,4,3,Regular Season,0,140,Texas Rangers,1,2,10,133,Oakland Athletics,2,1,10,O.co Coliseum
413681,2015,2015-04-08,1,N,night,3,3,Regular Season,4,135,San Diego Padres,1,2,7,119,Los Angeles Dodgers,2,1,22,Dodger Stadium
413671,2015,2015-04-08,1,N,night,3,3,Regular Season,5,108,Los Angeles Angels,2,1,3,136,Seattle Mariners,1,2,680,Safeco Field
413691,2015,2015-04-09,1,N,day,3,3,Regular Season,2,134,Pittsburgh Pirates,0,3,3,113,Cincinnati Reds,3,0,2602,Great American Ball Park
413690,2015,2015-04-09,1,N,day,3,3,Regular Season,6,121,New York Mets,2,1,3,120,Washington Nationals,1,2,3309,Nationals Park
413689,2015,2015-04-09,1,N,day,3,3,Regular Season,1,142,Minnesota Twins,0,3,7,116,Detroit Tigers,3,0,2394,Comerica Park
413688,2015,2015-04-09,1,N,day,3,3,Regular Season,5,114,Cleveland Indians,2,1,1,117,Houston Astros,1,2,2392,Minute Maid Park
413687,2015,2015-04-09,1,N,day,3,3,Regular Season,1,145,Chicago White Sox,0,3,4,118,Kansas City Royals,3,0,7,Kauffman Stadium
413694,2015,2015-04-09,1,N,day,4,4,Regular Season,10,140,Texas Rangers,2,2,1,133,Oakland Athletics,2,2,10,O.co Coliseum
413692,2015,2015-04-09,1,N,day,4,1,Regular Season,1,137,San Francisco Giants,3,1,0,135,San Diego Padres,1,3,2680,Petco Park
413686,2015,2015-04-09,1,N,night,3,3,Regular Season,6,111,Boston Red Sox,2,1,2,143,Philadelphia Phillies,1,2,2681,Citizens Bank Park
413695,2015,2015-04-09,1,N,night,3,3,Regular Season,6,141,Toronto Blue Jays,2,1,3,147,New York Yankees,1,2,3313,Yankee Stadium
413709,2015,2015-04-10,1,N,day,3,1,Regular Season,12,141,Toronto Blue Jays,3,1,5,110,Baltimore Orioles,2,2,2,Oriole Park at Camden Yards
413699,2015,2015-04-10,1,N,day,3,1,Regular Season,5,117,Houston Astros,2,2,1,140,Texas Rangers,2,3,13,Globe Life Park in Arlington
413697,2015,2015-04-10,1,N,day,3,1,Regular Season,1,112,Chicago Cubs,1,2,5,115,Colorado Rockies,4,0,19,Coors Field
413698,2015,2015-04-10,1,N,day,3,1,Regular Season,8,116,Detroit Tigers,4,0,4,114,Cleveland Indians,2,2,5,Progressive Field
413702,2015,2015-04-10,1,N,day,3,1,Regular Season,6,142,Minnesota Twins,1,3,0,145,Chicago White Sox,0,4,4,U.S. Cellular Field
413710,2015,2015-04-10,1,N,night,3,1,Regular Season,1,120,Washington Nationals,1,3,4,143,Philadelphia Phillies,2,2,2681,Citizens Bank Park
413696,2015,2015-04-10,1,N,night,3,1,Regular Season,6,111,Boston Red Sox,3,1,5,147,New York Yankees,1,3,3313,Yankee Stadium
413707,2015,2015-04-10,1,N,night,3,1,Regular Season,4,138,St. Louis Cardinals,1,2,5,113,Cincinnati Reds,4,0,2602,Great American Ball Park
413708,2015,2015-04-10,1,N,night,3,1,Regular Season,9,139,Tampa Bay Rays,1,3,10,146,Miami Marlins,1,3,4169,Marlins Park
413703,2015,2015-04-10,1,N,night,3,1,Regular Season,3,121,New York Mets,2,2,5,144,Atlanta Braves,4,0,16,Turner Field
413704,2015,2015-04-10,1,N,night,3,1,Regular Season,6,134,Pittsburgh Pirates,1,3,2,158,Milwaukee Brewers,0,4,32,Miller Park
413701,2015,2015-04-10,1,N,night,3,1,Regular Season,3,119,Los Angeles Dodgers,2,2,4,109,Arizona Diamondbacks,2,2,15,Chase Field
413700,2015,2015-04-10,1,N,night,3,1,Regular Season,4,118,Kansas City Royals,4,0,2,108,Los Angeles Angels,2,2,1,Angel Stadium of Anaheim
413705,2015,2015-04-10,1,N,night,3,1,Regular Season,0,136,Seattle Mariners,1,3,12,133,Oakland Athletics,3,2,10,O.co Coliseum
413706,2015,2015-04-10,1,N,night,4,2,Regular Season,0,137,San Francisco Giants,3,2,1,135,San Diego Padres,2,3,2680,Petco Park
413711,2015,2015-04-11,1,N,day,3,2,Regular Season,8,111,Boston Red Sox,4,1,4,147,New York Yankees,1,4,3313,Yankee Stadium
413722,2015,2015-04-11,1,N,day,3,2,Regular Season,4,138,St. Louis Cardinals,2,2,1,113,Cincinnati Reds,4,1,2602,Great American Ball Park
413717,2015,2015-04-11,1,N,day,3,2,Regular Season,4,142,Minnesota Twins,1,4,5,145,Chicago White Sox,1,4,4,U.S. Cellular Field
413720,2015,2015-04-11,1,N,day,3,2,Regular Season,5,136,Seattle Mariners,2,3,4,133,Oakland Athletics,3,3,10,O.co Coliseum
