"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_caught_stealing","r_total_stolen_base","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","out_zone_swing_miss","out_zone_swing","in_zone_swing_miss","in_zone_swing","in_zone","edge","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","batted_ball","groundballs","flyballs","linedrives","popups"
"Ibáñez, Andy",628451,2025,32,176,193,42,30,8,0,4,26,12,13.5,6.2,".239",".352",".301","0.653","21","1","4",".256",".371",".289",".305",".318",".115",".296",".317","69.2",2.7,13.6,11.1,37.4,30.7,"7.2",4,6.5,-2.5,47.3,29.3,"88.9","12.6",32.5,7,4.6,36.4,"98.636547027","93.431222703",37,107,31,261,354,292,18.5,51.4,46.4,33.1,20.5,151,61,42,41,7
"Maile, Luke",571912,2025,34,45,54,11,8,2,0,1,16,7,29.6,13,".244",".356",".346","0.702","6","0","1",".262",".412",".316",".344",".363",".150",".400",".454","68.7",3.8,17.2,12.7,32.8,24.1,"6.6",4,10.7,3,54.4,34,"90.8","14",38.7,2,6.5,45.2,"101.387447857","95.660297143",12,23,14,72,114,96,27.4,44.4,38.7,41.9,19.4,31,14,7,9,1
"Wood, James",695578,2025,22,598,689,153,84,38,0,31,221,85,32.1,12.3,".256",".475",".350","0.825","94","7","15",".264",".487",".353",".361",".357",".223",".486",".503","76",62.7,22.7,15.9,33.6,23.5,"7.7",44,11.1,1.9,41.9,39.7,"94.3","6.3",36.3,62,16.3,56.3,"106.446259788","98.230447241",194,346,188,815,1461,1251,32.9,40.2,29.7,42.9,27.4,380,189,81,105,5
"Nimmo, Brandon",607043,2025,32,587,652,154,102,27,0,25,141,50,21.6,7.7,".262",".436",".324","0.760","92","1","13",".255",".413",".329",".321",".320",".158",".386",".375","72.3",26.5,19.2,14.8,34.4,26.5,"7.2",22,6.6,2.1,47.9,29.1,"91.9","11.2",29.7,40,8.8,50.2,"102.56356141","95.897196556",130,287,162,940,1419,1127,23.8,47.2,35.2,35.5,29.3,454,209,107,105,33
"Tucker, Kyle",663656,2025,28,500,597,133,82,25,4,22,88,87,14.7,14.6,".266",".464",".377","0.841","73","3","25",".274",".475",".363",".371",".384",".201",".373",".384","72.1",23.7,15.2,12.5,36,29.6,"7.6",15,11.7,-8.1,49.5,33.9,"90.1","17.2",37.5,45,10.8,40.4,"99.768677067","94.192831928",82,195,128,847,1196,992,20.2,45.2,45.2,33.9,20.9,416,141,136,111,28
"Fraley, Jake",641584,2025,30,191,217,46,31,9,0,6,49,25,22.6,11.5,".241",".382",".332","0.714","23","3","4",".251",".368",".316",".317",".341",".117",".358",".360","71.6",16.2,10.4,7.9,26.9,20.6,"7.1",3,9,-6.6,37.9,37.5,"85.2","17.8",39.4,7,4.9,34.5,"98.280407465","93.180021915",59,114,36,278,403,346,24.2,47,50,28.2,21.8,142,49,37,43,13
"Goldschmidt, Paul",502671,2025,37,489,534,134,92,31,1,10,100,36,18.7,6.7,".274",".403",".328","0.731","45","1","5",".268",".440",".316",".328",".323",".172",".363",".379","72.6",21.9,15.7,12.8,34,27.7,"7.6",9,9.7,2.4,51.4,31.9,"90.4","15.9",36.1,31,7.9,43.7,"100.708316256","94.748625913",86,272,119,727,1097,852,20.5,47.8,37.1,32.5,30.4,391,152,116,101,22
"Giménez, Andrés",665926,2025,26,329,369,69,50,11,1,7,66,25,17.9,6.8,".210",".313",".285","0.598","35","2","12",".252",".358",".269",".307",".325",".106",".277",".330","69.3",7,8,6.1,31.4,24,"7",5,8.3,3,48.6,31.4,"86.3","11",32.6,8,3,27.7,"96.602269237","92.349003755",84,237,95,516,768,628,23.8,51.9,36,39.3,24.7,267,116,66,70,15
"Bailey, Patrick",672275,2025,26,409,452,91,64,18,3,6,133,30,29.4,6.6,".222",".325",".277","0.602","55","0","1",".211",".324",".265",".261",".267",".113",".340",".334","71.6",15.8,13.3,9.8,31.1,22.9,"7.3",11,8.5,-3.5,45.5,32.9,"88.2","15.6",35.3,16,5.6,36.4,"98.882488071","93.543761039",135,243,108,608,889,768,28.6,49.4,33.2,41.3,25.5,286,110,85,68,23
"Trejo, Alan",676701,2025,29,40,43,7,5,2,0,0,7,1,16.3,2.3,".175",".225",".190","0.415","1","0","0",".206",".333",".181",".239",".221",".127",".203",".275","66.1",0,7.5,5.9,39.6,30.9,"7",1,16.1,-2.4,49.3,36.9,"87.9","16.1",17.1,3,8.6,28.6,"96.444043529","92.222021765",8,21,11,65,85,64,22.1,58.1,40,37.1,22.9,35,15,16,4,0
